"acad_year","withdrew","1","2","3","4+"
"07","N",2144,1162,958,338
"07","Y",172,24,25,17
"08","N",2281,1235,946,340
"08","Y",196,57,18,19
"09","N",2031,1426,1057,377
"09","Y",326,79,30,24
"10","N",2365,1519,1142,366
"10","Y",316,56,19,17
"11","N",2203,1657,1149,385
"11","Y",192,97,31,26
"12","N",2011,1613,1398,365
"12","Y",176,39,33,16
"13","N",2136,1505,1408,368
"13","Y",221,65,25,28
"14","N",2148,1514,1307,303
"14","Y",203,91,23,13
"15","N",2211,1560,1292,266
"15","Y",222,64,32,25
"16","N",2258,1633,1273,292
"16","Y",232,63,29,15
"17","N",2208,1738,1327,308
"17","Y",175,70,13,28
"18","N",2244,1628,1394,302
"18","Y",202,48,38,17
"19","N",2413,1556,1259,321
"19","Y",194,67,20,11
"20","N",2517,1747,1212,400
"20","Y",201,80,27,13
"21","N",2466,1818,1353,325
"21","Y",299,113,45,24
